Id_Faixa;Nome_Musica;Nome_Album;Nomes_Artistas;Popularidade (0-100);Duração (min)
69uxyAqqPIsUyTO8txoP2M;Adventure of a Lifetime;A Head Full of Dreams;Coldplay;83;04:23
2bL2gyO6kBdLkNSkxXNh6x;Animals;V;Maroon 5;81;03:51
5ka2ajep9OAvU5Sgduhiex;Applause;ARTPOP;Lady Gaga;78;03:32
6QFCMUUq1T2Vf5sFUXcuQ7;Beauty And A Beat;Believe;Justin Bieber,Nicki Minaj;83;03:47
5Hroj5K7vLpIG4FNCRIjbP;Best Day Of My Life;Oh, What A Life;American Authors;79;03:14
07nH4ifBxUB4lZcsf44Brn;Blame ;Motion;Calvin Harris,John Newman;80;03:32
3UGIZ8qcrMTwzLbx6Kttqt;Boyfriend;Believe;Justin Bieber;75;02:51
12KUFSHFgT0XCoiSlvdQi4;Break Free;My Everything (Deluxe);Ariana Grande,Zedd;80;03:34
5lF0pHbsJ0QqyIrLweHJPW;Burn;Halcyon Nights;Ellie Goulding;76;03:51
76hfruVvmfQbw0eYn1nmeC;Cake By The Ocean;DNCE;DNCE;81;03:39
20I6sIOMTCkB6w7ryavxtO;Call Me Maybe;Kiss;Carly Rae Jepsen;81;03:13
1trC8L8YpawkU553ymy2zC;Calling (Lose My Mind) - Radio Edit;Calling (Lose My Mind);Sebastian Ingrosso,Alesso,Ryan Tedder;65;03:25
22skzmqfdWrjJylampe0kt;Can't Hold Us ;The Heist;Macklemore,Ryan Lewis,Macklemore & Ryan Lewis,Ray Dalton;83;04:18
04aAxqtGp5pv12UXAg4pkq;Centuries;American Beauty/American Psycho;Fall Out Boy;81;03:48
4VrWlk8IQxevMvERoX08iC;Chandelier;1000 Forms Of Fear;Sia;81;03:36
378iszndTZAR4dH8kwsLC6;Cheap Thrills ;This Is Acting;Sia,Sean Paul;75;03:44
7BKLCZ1jbUBVqRi2FVlTVw;Closer;Closer;The Chainsmokers,Halsey;86;04:04
2tpWsVSb9UEmDRxAl1zhX1;Counting Stars;Native;OneRepublic;87;04:17
5IVuqXILoxVWvWEPm82Jxr;Crazy In Love ;Dangerously In Love;Beyoncé,JAY-Z;79;03:56
6O20JhBJPePEkBdrB5sqRx;Diamonds;Unapologetic (Deluxe);Rihanna;76;03:45
4356Typ82hUiFAynbLYbPn;DJ Got Us Fallin' In Love ;Raymond v Raymond (Expanded Edition);USHER,Pitbull;83;03:40
2fQxE0jVrjNMT9oJAXtSJR;Domino;Who You Are (Platinum Edition);Jessie J;76;03:51
3e7sxremeOE3wTySiOhGiP;Dusk Till Dawn  - Radio Edit;Icarus Falls;ZAYN,Sia;81;03:59
1gihuPhrLraKYrJMAEONyc;Feel So Close - Radio Edit;18 Months;Calvin Harris;82;03:26
0Hf4aIJpsN4Os2f0y0VqWl;Feel This Moment ;Global Warming: Meltdown (Deluxe Version);Pitbull,Christina Aguilera;80;03:49
3MOECVkNshqHYTPt5DZcdN;Five More Hours;Good Evening;Deorro,Chris Brown;72;03:31
4esOae7i4rqTbAu9o5Pxco;Girl on Fire;Girl on Fire (Remixes) - EP;Alicia Keys;76;03:44
4QNpBfC0zvjKqPJcyqBy9W;Give Me Everything ;Planet Pit (Deluxe Version);Pitbull,AFROJACK,Ne-Yo,Nayer;86;04:12
2LEF1A8DOZ9wRYikWgVlZ8;Good Feeling;Wild Ones;Flo Rida;80;04:08
4lLtanYk6tkMvooU0tWzG8;Grenade;Doo-Wops & Hooligans;Bruno Mars;80;03:42
7wMq5n8mYSKlQIGECKUgTX;Hall of Fame ;#3 Deluxe Version;The Script,will.i.am;81;03:22
2CvOqDpQIMw69cCzWqr5yr;Halo;I AM...SASHA FIERCE - Platinum Edition;Beyoncé;74;04:21
